Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed May 22 04:31:47 2024


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       reg1_map.ncd
OUTPUT FILE:      reg1_pad.txt
PART TYPE:        xc7vx330t
SPEED GRADE:      -2
PACKAGE:          ffg1157

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name    |Pin Usage|Pin Name                    |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A14       |data_out_2<9>  |IOB      |IO_L21P_T3_DQS_38           |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A15       |data_out_2<1>  |IOB      |IO_L20N_T3_38               |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A16       |data_out_2<5>  |IOB      |IO_L22N_T3_38               |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A17       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A18       |data_out_2<16> |IOB      |IO_L24N_T3_38               |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A19       |               |IOB18M   |IO_L7P_T1_37                |UNUSED   |           |37            |          |         |           |         |         |          |           |                |
|A20       |               |IOB18S   |IO_L7N_T1_37                |UNUSED   |           |37            |          |         |           |         |         |          |           |                |
|A21       |               |IOB18S   |IO_L9N_T1_DQS_37            |UNUSED   |           |37            |          |         |           |         |         |          |           |                |
|A22       |               |         |VCCO_37                     |         |           |37            |          |         |           |         |1.80     |          |           |                |
|A23       |data_out_2<37> |IOB      |IO_L20P_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A24       |data_out_2<38> |IOB      |IO_L20N_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|A25       |data_in_2<75>  |IOB      |IO_L8P_T1_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A26       |data_in_2<72>  |IOB      |IO_L8N_T1_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A27       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|A28       |data_in_2<89>  |IOB      |IO_L15P_T2_DQS_19           |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A29       |data_in_2<86>  |IOB      |IO_L15N_T2_DQS_19           |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A30       |data_in_2<43>  |IOB      |IO_L17P_T2_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A31       |data_in_2<90>  |IOB      |IO_L17N_T2_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A32       |               |         |VCCO_19                     |         |           |19            |          |         |           |         |1.80     |          |           |                |
|A33       |data_in_2<62>  |IOB      |IO_L3N_T0_DQS_19            |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|A34       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA1       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA2       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA3       |               |IPAD     |MGTHRXN0_116                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AA4       |               |IPAD     |MGTHRXP0_116                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AA5       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA6       |               |         |MGTAVCC_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AA7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA8       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA9       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA10      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AA11      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA12      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AA13      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA14      |               |         |VCCAUX_IO_G2                |         |           |              |          |         |           |         |1.8      |          |           |                |
|AA15      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA16      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AA17      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA18      |               |         |VCCBRAM                     |         |           |              |          |         |           |         |         |          |           |                |
|AA19      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA20      |               |         |VCCAUX_IO_G0                |         |           |              |          |         |           |         |1.8      |          |           |                |
|AA21      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA22      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AA23      |               |IOB18M   |IO_L24P_T3_16               |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AA24      |               |IOB18S   |IO_L24N_T3_16               |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AA25      |               |IOB18S   |IO_L23N_T3_16               |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AA26      |               |IOB18M   |IO_L21P_T3_DQS_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AA27      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AA28      |               |IOB18M   |IO_L13P_T2_MRCC_16          |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AA29      |               |IOB18S   |IO_L13N_T2_MRCC_16          |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AA30      |data_out_2<90> |IOB      |IO_L9P_T1_DQS_16            |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA31      |data_out_2<95> |IOB      |IO_L11N_T1_SRCC_16          |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA32      |               |         |VCCO_16                     |         |           |16            |          |         |           |         |1.80     |          |           |                |
|AA33      |data_out_2<74> |IOB      |IO_L1P_T0_16                |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA34      |data_out_2<75> |IOB      |IO_L1N_T0_16                |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB1       |               |OPAD     |MGTHTXN3_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB2       |               |OPAD     |MGTHTXP3_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB3       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB5       |               |IPAD     |MGTREFCLK0N_115             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB6       |               |IPAD     |MGTREFCLK0P_115             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB8       |               |         |M1_0                        |         |           |              |          |         |           |         |         |          |           |                |
|AB9       |               |         |VCCO_0                      |         |           |0             |          |         |           |         |any******|          |           |                |
|AB10      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB11      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AB12      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB13      |               |         |VCCAUX                      |         |           |              |          |         |           |         |1.8      |          |           |                |
|AB14      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB15      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AB16      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB17      |               |         |VCCBRAM                     |         |           |              |          |         |           |         |         |          |           |                |
|AB18      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB19      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AB20      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB21      |               |         |VCCAUX                      |         |           |              |          |         |           |         |1.8      |          |           |                |
|AB22      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB23      |               |         |VCCINT                      |         |           |              |          |         |           |         |1.0      |          |           |                |
|AB24      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AB25      |               |IOB18    |IO_25_VRP_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AB26      |               |IOB18S   |IO_L21N_T3_DQS_16           |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AB27      |               |IOB18M   |IO_L18P_T2_16               |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AB28      |               |IOB18S   |IO_L18N_T2_16               |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|AB29      |               |         |VCCO_16                     |         |           |16            |          |         |           |         |1.80     |          |           |                |
|AB30      |data_out_2<91> |IOB      |IO_L9N_T1_DQS_16            |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB31      |data_out_2<86> |IOB      |IO_L7P_T1_16                |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB32      |data_out_2<87> |IOB      |IO_L7N_T1_16                |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB33      |data_out_2<78> |IOB      |IO_L3P_T0_DQS_16            |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB34      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC1       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC2       |               |         |MGTAVTT_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AC3       |               |IPAD     |MGTHRXN3_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AC4       |               |IPAD     |MGTHRXP3_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AC5       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC6       |               |         |MGTAVCC_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AC7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC8       |               |         |M0_0                        |         |           |              |          |         |           |         |         |          |           |                |
|AC9       |               |IOB18S   |IO_L2N_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AC10      |               |IOB18M   |IO_L2P_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AC11      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC12      |               |IOB18    |IO_0_VRN_34                 |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AC13      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC14      |               |         |VCCAUX_IO_G2                |         |           |              |          |         |           |         |1.8      |          |           |                |
|AC15      |               |IOB18    |IO_25_VRP_35                |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AC16      |               |         |VCCO_35                     |         |           |35            |          |         |           |         |any******|          |           |                |
|AC17      |               |IOB18M   |IO_L22P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AC18      |               |IOB18    |IO_25_VRP_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AC19      |               |IOB18M   |IO_L19P_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AC20      |               |         |VCCAUX_IO_G0                |         |           |              |          |         |           |         |1.8      |          |           |                |
|AC21      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC22      |data_out_2<48> |IOB      |IO_0_VRN_36                 |OUTPUT   |LVCMOS18*  |36            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC23      |               |IOB18    |IO_25_VRP_15                |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC24      |               |IOB18M   |IO_L24P_T3_RS1_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC25      |               |IOB18M   |IO_L23P_T3_FOE_B_15         |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC26      |               |         |VCCO_15                     |         |           |15            |          |         |           |         |any******|          |           |                |
|AC27      |               |IOB18    |IO_0_VRN_15                 |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC28      |               |IOB18M   |IO_L15P_T2_DQS_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC29      |               |IOB18S   |IO_L15N_T2_DQS_ADV_B_15     |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC30      |               |IOB18M   |IO_L8P_T1_AD10P_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AC31      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AC32      |data_out_2<82> |IOB      |IO_L5P_T0_16                |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC33      |data_out_2<83> |IOB      |IO_L5N_T0_16                |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AC34      |data_out_2<79> |IOB      |IO_L3N_T0_DQS_16            |OUTPUT   |LVCMOS18*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AD1       |               |OPAD     |MGTHTXN2_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD2       |               |OPAD     |MGTHTXP2_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD3       |               |         |MGTAVTT_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AD4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AD5       |               |IPAD     |MGTREFCLK1N_115             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD6       |               |IPAD     |MGTREFCLK1P_115             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AD7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AD8       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AD9       |               |IOB18S   |IO_L4N_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD10      |               |IOB18M   |IO_L4P_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD11      |               |IOB18S   |IO_L6N_T0_VREF_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD12      |               |IOB18M   |IO_L6P_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AD13      |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AD14      |               |IOB18M   |IO_L23P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AD15      |               |IOB18S   |IO_L24N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AD16      |               |IOB18M   |IO_L24P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AD17      |               |IOB18S   |IO_L22N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AD18      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AD19      |               |IOB18M   |IO_L23P_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AD20      |               |IOB18S   |IO_L19N_T3_VREF_36          |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AD21      |               |IOB18M   |IO_L22P_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AD22      |               |IOB18M   |IO_L20P_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AD23      |               |         |VCCO_15                     |         |           |15            |          |         |           |         |any******|          |           |                |
|AD24      |               |IOB18S   |IO_L24N_T3_RS0_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD25      |               |IOB18S   |IO_L23N_T3_FWE_B_15         |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD26      |               |IOB18M   |IO_L19P_T3_A22_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD27      |               |IOB18S   |IO_L19N_T3_A21_VREF_15      |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD28      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AD29      |               |IOB18M   |IO_L13P_T2_MRCC_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD30      |               |IOB18S   |IO_L8N_T1_AD10N_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD31      |               |IOB18M   |IO_L10P_T1_AD11P_15         |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD32      |               |IOB18S   |IO_L10N_T1_AD11N_15         |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AD33      |               |         |VCCO_15                     |         |           |15            |          |         |           |         |any******|          |           |                |
|AD34      |               |IOB18M   |IO_L2P_T0_AD8P_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE1       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AE2       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AE3       |               |IPAD     |MGTHRXN2_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AE4       |               |IPAD     |MGTHRXP2_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AE5       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AE6       |               |         |MGTAVCC_G10                 |         |           |              |          |         |           |         |         |          |           |                |
|AE7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AE8       |               |IOB18S   |IO_L1N_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE9       |               |IOB18M   |IO_L1P_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE10      |               |         |VCCO_34                     |         |           |34            |          |         |           |         |any******|          |           |                |
|AE11      |               |IOB18S   |IO_L3N_T0_DQS_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE12      |               |IOB18M   |IO_L3P_T0_DQS_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AE13      |               |IOB18S   |IO_L23N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE14      |               |IOB18M   |IO_L21P_T3_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE15      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AE16      |               |IOB18S   |IO_L20N_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE17      |               |IOB18M   |IO_L20P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE18      |               |IOB18    |IO_0_VRN_35                 |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AE19      |               |IOB18S   |IO_L23N_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AE20      |               |         |VCCO_36                     |         |           |36            |          |         |           |         |1.80     |          |           |                |
|AE21      |               |IOB18S   |IO_L22N_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AE22      |               |IOB18S   |IO_L20N_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AE23      |               |IOB18M   |IO_L22P_T3_A17_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE24      |               |IOB18S   |IO_L22N_T3_A16_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE25      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AE26      |               |IOB18M   |IO_L21P_T3_DQS_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE27      |               |IOB18M   |IO_L16P_T2_A28_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE28      |               |IOB18M   |IO_L14P_T2_SRCC_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE29      |               |IOB18S   |IO_L13N_T2_MRCC_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE30      |               |         |VCCO_15                     |         |           |15            |          |         |           |         |any******|          |           |                |
|AE31      |               |IOB18M   |IO_L12P_T1_MRCC_15          |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE32      |               |IOB18M   |IO_L7P_T1_AD2P_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE33      |               |IOB18S   |IO_L7N_T1_AD2N_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AE34      |               |IOB18S   |IO_L2N_T0_AD8N_15           |UNUSED   |           |15            |          |         |           |         |         |          |           |                |
|AF1       |               |OPAD     |MGTHTXN1_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF2       |               |OPAD     |MGTHTXP1_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF3       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AF4       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AF5       |               |IPAD     |MGTHRXN1_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF6       |               |IPAD     |MGTHRXP1_115                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AF7       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AF8       |               |IOB18S   |IO_L5N_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF9       |               |IOB18M   |IO_L5P_T0_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF10      |               |IOB18M   |IO_L10P_T1_34               |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF11      |               |IOB18M   |IO_L7P_T1_34                |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF12      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|AF13      |               |IOB18M   |IO_L19P_T3_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF14      |               |IOB18S   |IO_L21N_T3_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF15      |               |IOB18M   |IO_L16P_T2_35               |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF16      |               |IOB18M   |IO_L14P_T2_SRCC_35          |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF17      |               |         |VCCO_35                     |         |           |35            |          |         |           |         |any******|          |           |                |
|AF18      |               |IOB18M   |IO_L15P_T2_DQS_35           |UNUSED   |           |35            |          |         |           |         |         |          |           |                |
|AF19      |               |IOB18M   |IO_L21P_T3_DQS_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AF20      |               |IOB18S   |IO_L21N_T3_DQS_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AF21      |               |IOB18M   |IO_L24P_T3_36               |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|AF22      |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
